Tissue name	average log-ratio	average ratio	number of amples per tissue
Adipose - Subcutaneous	0.5881290436906749	1.8310954306929594	662
Muscle - Skeletal	0.6694520505919874	2.001966961786265	803
Artery - Tibial	0.2999583540947002	1.382108071455584	663
Artery - Coronary	0.34255824331923096	1.4463029056399348	240
Heart - Atrial Appendage	0.5094281761628197	1.7020479929953107	429
Adipose - Visceral (Omentum)	0.517603381358722	1.7114209430154306	541
Uterus	0.5183541318846475	1.7301530835782557	142
Vagina	0.656351451264118	1.9820330081016395	156
Breast - Mammary Tissue	0.5364844241519042	1.7426015322129293	459
Skin - Not Sun Exposed (Suprapubic)	0.8800006155310033	2.4895258383581487	604
Minor Salivary Gland	0.3496687616566836	1.4807228420367906	162
Brain - Cortex	0.20224988491028498	1.2610811691613935	255
Adrenal Gland	0.7449125320000367	2.1499504480788594	258
Thyroid	0.5301028831703709	1.730918559531302	653
Lung	0.6860821444611411	2.0324693807836143	578
Spleen	1.048529791054286	2.9056557206546043	241
Pancreas	0.20363795565046028	1.2541082996456214	328
Esophagus - Muscularis	0.5675246784593834	1.7964151490403206	515
Esophagus - Mucosa	0.790662288640423	2.2609865107830913	555
Esophagus - Gastroesophageal Junction	0.5186069458520491	1.7132535269936964	375
Stomach	0.38761183163619484	1.502615772852203	359
Colon - Sigmoid	0.5423193539969638	1.7575800971663296	373
Small Intestine - Terminal Ileum	0.7485288905313654	2.1662356268490055	187
Colon - Transverse	0.6026264477138324	1.8602462218408105	406
Prostate	0.5092941210273555	1.7051567519697415	245
Testis	0.9910889461810435	2.733104310757269	361
Nerve - Tibial	0.599638539496005	1.8557919568677181	619
Skin - Sun Exposed (Lower leg)	0.931964338587693	2.614999227914152	701
Heart - Left Ventricle	0.39091659416209956	1.5525605103609874	432
Brain - Cerebellum	-0.19686981365340367	0.8572851183532691	241
Cells - Cultured fibroblasts	-0.0048558559923743555	1.0357663939597304	504
Whole Blood	1.6951257330558265	5.907767707386392	755
Artery - Aorta	0.4380800601111167	1.5861229492099693	432
Cells - EBV-transformed lymphocytes	1.295058179981737	3.7170964978030603	174
Pituitary	0.5744460047912449	1.8109974981690846	283
Brain - Frontal Cortex (BA9)	-0.02716725677516842	1.026601185780667	209
Brain - Caudate (basal ganglia)	-0.0626181869914687	0.9912547410497732	246
Brain - Nucleus accumbens (basal ganglia)	-0.2403325368080143	0.8671815579046579	244
Brain - Putamen (basal ganglia)	-0.03941595249693612	1.0391645788778061	205
Brain - Hypothalamus	-0.21979579422580753	0.9109305931608259	201
Brain - Spinal cord (cervical c-1)	0.5910846655892555	1.9136898878373014	159
Brain - Hippocampus	-0.0557594330879911	1.066501667817025	197
Brain - Anterior cingulate cortex (BA24)	-0.13637565527552137	0.9361330087393548	176
Ovary	0.3210938882070271	1.4155339354870575	180
Brain - Cerebellar Hemisphere	-0.36094574385697054	0.7514410837327093	215
Liver	0.5342917753587275	1.8363098739991648	226
Brain - Substantia nigra	0.1036572769235839	1.196799534184438	138
Kidney - Cortex	0.5960720079651861	1.8847359929144154	85
Brain - Amygdala	-0.06940563974383657	1.0236676784416576	152
Cervix - Ectocervix	0.6193565851043883	1.9255498106358755	9
Fallopian Tube	0.5159074608958935	1.70737435885152	9
Cervix - Endocervix	0.5390909393158392	1.7424575130528193	10
Bladder	0.558546411880431	1.7835631129187957	21
Kidney - Medulla	0.684626713451609	2.043976982719018	4
